x,y,z,category,size
-58.62,-22.7,96.08,D,3
-43.42,-90.05,-61.4,D,3
-51.12,-72.07,-29.4,B,1
-83.03,-66.65,-23.31,B,2
-44.78,-68.14,88.62,D,2
34.15,86.76,72.97,A,3
18.87,27.21,81.08,C,5
19.91,58.16,14.78,A,4
98.36,49.63,-57.32,C,1
77.06,-32.68,89.39,C,5
77.32,42.29,41.99,D,3
83.11,62.25,-51.02,C,4
-93.78,97.81,-89.38,D,4
-42.17,74.18,32.36,B,5
19.92,-29.67,69.55,C,5
86.05,16.04,-62.07,B,5
44.08,17.81,16.95,A,5
25.4,-19.21,72.74,E,3
36.24,-99.79,38.02,B,1
-97.57,-62.32,19.29,A,2
72.87,-40.75,51.87,D,5
57.65,-74.71,-74.1,B,5
-22.72,57.37,-58.92,C,5
70.01,-99.32,8.64,D,5
97.63,98.39,57.2,C,5
55.63,28.12,65.29,E,4
20.51,16.09,-30.02,D,2
39.83,62.05,62.14,B,4
-79.7,-77.93,5.78,C,4
-8.43,60.48,59.94,D,4
-59.39,24.79,-81.49,B,2
-33.5,52.71,-4.92,C,5
97.53,-69.86,39.28,C,2
58.1,-9.59,-63.68,B,3
-51.1,54.08,60.31,C,4
-2.37,-85.6,70.08,C,1
-63.96,-63.73,46.76,B,3
12.09,-3.13,8.56,A,5
71.25,-14.53,-37.16,B,4
1.46,-22.54,-5.67,B,2
-12.44,81.91,51.78,B,2
1.29,-98.19,9.58,B,5
-7.74,28.62,-18.85,D,3
47.44,23.32,-47.2,E,2
45.89,-3.66,-5.15,D,1
48.52,-69.14,94.26,E,1
17.99,80.42,-65.57,C,2
-50.8,47.28,24.95,B,2
-18.69,-89.2,96.87,C,3
57.22,43.8,5.5,D,1
7.73,-32.12,47.6,A,2
32.61,-61.92,-88.91,B,4
-77.64,-81.79,26.87,C,5
80.56,-95.58,59.29,C,5
-99.4,-3.04,-91.01,A,2
58.01,-7.18,-67.63,B,2
91.0,36.47,-99.59,C,4
98.87,-1.52,80.31,B,4
-60.26,30.71,6.33,B,1
-67.99,79.18,33.45,B,1
-82.47,25.41,40.63,B,2
40.32,-46.75,29.98,D,5
-73.63,57.32,45.89,C,1
-2.37,66.23,59.9,B,4
92.24,-90.75,19.69,D,3
66.69,-11.89,-69.39,B,5
-25.23,-63.26,83.27,B,3
-24.55,-82.21,-13.86,C,5
-22.14,3.05,52.85,C,1
42.32,-15.38,-66.25,D,1
21.87,90.57,39.75,A,3
6.77,95.28,-74.53,B,2
43.05,-98.83,40.13,C,3
16.11,-69.16,62.56,C,3
61.45,20.78,70.77,B,4
-41.12,-96.83,-51.19,E,2
-83.09,-73.7,38.64,A,5
28.23,97.91,-0.29,B,4
-88.14,99.35,2.5,D,5
3.72,-8.39,88.52,B,1
43.66,92.3,14.7,A,2
-53.59,40.59,88.71,B,1
-15.45,3.89,-48.67,E,4
33.41,67.13,45.8,B,3
55.19,-85.25,-79.4,C,5
-41.68,-55.6,64.27,C,1
78.46,-76.72,-11.12,A,2
-83.68,24.07,-10.63,E,2
65.1,-80.23,46.61,A,1
-42.12,42.46,-8.36,C,3
-86.98,12.71,-11.27,A,4
64.26,-10.4,-71.74,B,5
-88.94,18.8,54.99,D,2
51.4,-75.17,-5.88,E,1
-27.57,-31.99,17.96,A,3
-18.52,16.62,81.83,D,4
60.0,-59.26,74.16,E,2
-9.71,11.12,56.44,B,3
51.18,-30.55,50.59,E,3
-22.37,58.98,-26.32,D,2
-53.03,1.41,-55.58,C,1
2.49,-5.7,82.3,D,4
-17.68,84.41,91.03,B,4
-53.77,70.7,-22.41,D,3
-56.08,49.31,-49.06,B,3
11.49,8.82,95.01,C,2
22.21,-17.24,-98.81,D,4
57.83,31.62,-5.73,A,3
43.72,-28.65,75.52,D,4
33.45,45.54,-13.4,A,4
82.55,28.42,66.3,D,5
25.06,33.05,-84.46,D,3
38.71,-79.52,-60.49,C,5
-46.9,-72.66,24.89,B,4
8.5,75.26,-25.87,A,5
68.59,-70.97,39.17,E,1
22.31,23.46,-99.53,D,5
-78.38,64.29,82.88,E,2
-2.58,-70.81,97.43,A,3
58.42,-10.1,83.16,E,3
89.49,82.32,-60.17,E,5
-82.03,-31.15,61.38,C,4
-26.38,41.57,18.0,D,5
-32.93,27.75,18.33,B,4
22.23,-25.88,-51.01,D,1
-77.54,-15.66,-7.3,D,5
1.68,-50.44,95.27,C,3
92.87,19.5,83.95,A,4
94.29,-34.63,-17.32,D,4
-91.26,-36.69,70.18,A,4
20.66,99.13,6.35,C,1
19.24,-53.48,96.53,B,3
27.51,-26.24,-87.31,D,1
27.49,94.51,99.64,D,2
-41.81,-78.14,61.67,A,5
13.64,-99.97,79.08,D,1
31.33,17.27,-4.08,E,4
-19.63,-27.08,-16.41,E,4
-41.82,-32.38,-93.96,B,3
-43.75,-93.34,-82.96,D,3
54.18,28.91,50.53,B,4
-0.32,-56.77,82.18,A,1
16.95,-60.53,-81.05,C,2
-23.91,16.15,-74.9,C,5
-82.16,-91.84,-44.69,E,1
-32.63,62.44,93.4,D,1
34.5,-43.54,87.31,A,1
-86.29,26.39,-25.7,D,1
-93.13,57.14,96.99,D,2
20.26,85.92,-41.51,D,5
-24.76,-59.77,-88.91,B,1
85.51,92.43,-38.26,E,2
21.66,-47.38,66.54,B,1
-69.12,-52.62,23.23,E,3
-83.98,-77.45,26.81,D,1
36.71,-80.4,-81.3,E,3
-63.92,12.0,60.9,D,2
0.54,80.85,-62.42,B,3
-21.29,91.44,51.43,E,3
49.69,85.28,-25.17,A,5
50.68,-21.7,14.7,A,3
58.73,-90.27,-10.26,E,3
-94.15,-87.2,-30.35,D,4
-82.41,85.17,-41.65,B,2
79.92,-17.49,45.64,A,2
-25.43,-21.76,71.55,B,4
97.02,35.13,-72.85,D,2
11.3,46.75,54.01,A,2
-38.47,-42.6,83.09,B,3
-39.84,15.55,38.14,B,2
1.4,-26.13,-71.59,C,5
98.2,-73.92,13.27,D,4
36.12,-46.84,-37.0,D,3
-1.31,35.16,86.53,B,1
88.22,22.29,9.64,B,3
-19.35,-88.46,-64.44,B,1
18.1,69.98,-70.55,A,5
-24.64,47.44,-69.88,E,4
89.61,69.27,3.7,A,2
-97.19,8.69,86.5,D,2
-93.91,18.17,-27.47,D,1
92.27,-39.41,84.79,A,2
52.13,3.72,41.45,B,2
-94.41,-65.23,-0.08,B,2
25.72,-81.45,-60.87,B,1
-63.22,-78.02,-14.82,B,4
-89.67,-19.12,57.35,C,4
71.59,96.52,-28.72,D,5
20.06,60.55,12.85,D,3
72.91,-10.92,10.4,D,4
-95.18,-71.9,-67.79,D,4
65.27,-42.45,-25.13,A,1
-42.43,-35.28,-56.84,A,4
47.52,-22.01,35.74,C,5
99.71,-37.47,-68.15,C,2
-45.52,-69.14,29.24,B,2
24.81,-2.94,-74.89,E,1
-13.61,94.52,-53.27,B,4
-60.32,87.97,-49.63,B,5
14.16,-89.61,-66.18,E,1
-42.38,98.68,38.36,A,2
57.28,-97.41,33.36,B,3
-37.4,-77.59,69.47,E,2
11.63,43.34,-20.47,B,5
-61.23,-61.34,12.11,B,3
-92.55,-91.95,84.8,C,3
-77.46,44.5,-10.78,A,3
48.85,52.41,-41.63,B,5
-16.93,-13.24,59.29,B,2
52.23,4.73,-31.97,B,3
29.32,35.33,45.9,E,3
-61.38,-84.61,60.93,B,4
-5.84,90.0,-50.25,C,1
50.58,-43.99,70.07,A,4
0.26,76.05,79.06,E,4
3.89,-11.08,-10.04,C,4
-40.86,93.51,61.34,C,4
30.61,-0.12,-4.77,C,5
-53.62,-9.31,-8.53,D,4
-96.25,-60.39,-34.13,C,1
-12.63,62.79,82.16,E,4
58.62,-11.96,70.35,A,4
43.53,30.07,-28.58,B,4
62.68,-94.83,-89.25,D,3
-91.29,28.05,-90.23,E,1
11.91,-53.02,-21.05,D,5
-88.61,-38.72,56.11,A,4
18.74,89.54,-18.06,B,5
-72.42,90.92,87.57,B,4
8.32,52.43,98.04,A,2
-69.29,-58.84,-51.49,C,5
95.72,22.08,-99.54,B,2
-19.74,16.72,-60.56,C,4
-68.05,-46.83,-27.44,E,5
-68.62,66.55,60.93,E,5
-10.03,77.12,-30.37,C,5
-81.11,-64.54,58.13,B,2
-48.65,-29.21,-68.25,C,5
81.03,62.92,84.16,A,3
11.54,-22.41,-45.4,A,3
19.32,5.6,62.43,C,5
62.94,20.68,-81.65,D,4
11.63,76.87,96.77,C,3
86.77,26.19,46.21,D,1
-76.89,-95.28,-80.24,C,4
71.69,75.22,-64.6,E,3
27.75,-69.97,-4.83,D,2
-10.66,-53.29,45.17,E,2
24.23,20.15,-43.27,B,4
-42.11,65.66,-84.01,D,3
-75.23,-91.29,-88.4,C,3
-22.81,38.02,28.21,C,4
-27.59,-2.63,-34.35,A,2
10.27,-7.31,-98.69,A,5
66.43,-17.21,63.2,C,3
58.88,77.66,47.86,C,2
-82.43,-45.09,47.12,A,2
-80.82,-83.83,-30.88,A,3
59.17,-80.08,-92.54,D,1
-5.5,-37.32,74.63,C,2
98.61,7.77,-33.04,E,1
-91.17,22.74,-22.65,D,4
-7.33,-13.3,-16.51,A,2
95.79,58.87,-42.95,B,1
-30.54,-45.15,47.88,C,5
80.75,84.14,48.7,D,2
86.42,-79.15,91.57,A,3
-24.8,-40.76,-42.77,C,1
-93.82,6.36,-97.63,E,2
30.64,41.92,28.12,B,4
-96.5,28.03,95.58,E,3
41.56,-78.57,41.1,B,4
-73.36,88.83,-66.82,E,4
53.61,-38.85,-34.4,D,3
78.01,46.45,-16.67,C,2
75.26,70.42,14.87,C,3
83.05,14.78,75.64,D,3
78.56,46.23,-8.68,E,5
4.47,52.05,97.59,A,1
80.92,26.57,63.68,C,2
87.23,-86.42,20.73,C,2
24.95,-49.49,11.62,A,1
-29.59,28.08,-27.69,B,2
-34.99,17.55,-14.53,E,4
63.91,69.43,-87.2,C,5
-92.82,41.74,-0.71,B,3
-16.33,63.49,-68.16,D,2
-33.64,-85.56,-30.01,D,4
-0.49,-45.42,-98.83,E,2
-55.46,-10.86,-31.11,A,3
-30.09,37.75,81.82,E,1
-13.49,-42.63,-38.11,C,4
-85.74,36.7,38.45,D,2
93.78,5.96,16.28,C,3
57.17,-81.95,-30.63,A,1
-36.95,39.58,80.36,C,5
-66.32,-33.98,-19.62,C,3
-14.0,-9.56,-51.07,E,5
-77.35,-83.17,5.38,B,1
11.46,-79.35,33.72,D,5
75.73,-98.81,-63.09,E,4
44.99,-81.52,62.05,A,5
87.56,80.58,-73.63,E,1
42.88,-40.15,68.46,C,1
-76.69,-3.16,51.09,E,5
51.1,32.99,5.93,B,1
94.98,70.43,-43.89,E,4
27.59,-45.08,-71.47,E,1
-93.22,-45.59,91.37,B,1
5.73,-75.72,45.05,E,1
5.72,-94.45,21.38,D,1
